canonical	variants	pinyin	domains	context_regex	evidence	status	reviewer	updated_at
葛辉	葛徽	ge hui	name,classroom,short-video	葛[辉徽]|老师|中国文化	user-confirmed teacher name and classroom self-introduction	approved	project-owner	2026-07-14
石不说古天珠瓷书画		shi bu shuo gu tian zhu ci shu hua	account,short-video	石不说|古天|瓷|书画	user-confirmed Douyin nickname	approved	project-owner	2026-07-14
